name,start,end
Agricultural Revolution,-12000,-10000
Bronze Age Begins,-3300,-3000
Iron Age Begins,-1200,-1000
First Cities Emerge,-3500,-3000
First Writing Systems,-3200,-3000
Egyptian Old Kingdom,-2686,-2181
Indus Valley Civilization,-3300,-1300
Chinese Xia Dynasty,-2070,-1600
Minoan Civilization,-2700,-1450
Mycenaean Civilization,-1600,-1100
Assyrian Empire,-2500,-609
Babylonian Empire,-1894,-539
Hittite Empire,-1600,-1178
Shang Dynasty,-1600,-1046
Zhou Dynasty,-1046,-256
Vedic Period,-1500,-500
Olmec Civilization,-1200,-400
Greek Dark Ages,-1100,-800
Archaic Greece,-800,-480
Classical Greece,-480,-323
Persian Empire,-550,-330
Roman Republic,-509,-27
Mauryan Empire,-322,-185
Qin Dynasty,-221,-206
Han Dynasty,-206,220
Punic Wars,-264,-146
Roman Empire,-27,476
Gupta Empire,320,550
Byzantine Empire,330,1453
Sassanid Empire,224,651
Tang Dynasty,618,907
Islamic Golden Age,750,1258
Carolingian Empire,800,888
Viking Age,793,1066
Song Dynasty,960,1279
Norman Conquest,1066,1066
Crusades,1096,1291
Mongol Empire,1206,1368
Yuan Dynasty,1271,1368
Ming Dynasty,1368,1644
Ottoman Empire,1299,1922
Renaissance,1300,1600
Aztec Empire,1428,1521
Inca Empire,1438,1533
Age of Discovery,1400,1600
Portuguese Empire,1415,1999
Spanish Empire,1492,1975
Protestant Reformation,1517,1648
Scientific Revolution,1543,1687
Dutch Golden Age,1588,1672
British Empire,1583,1997
Thirty Years War,1618,1648
Qing Dynasty,1644,1912
Enlightenment,1685,1815
Industrial Revolution,1760,1840
American Revolution,1765,1783
French Revolution,1789,1799
Napoleonic Wars,1803,1815
Latin American Independence,1808,1833
Meiji Restoration,1868,1912
Scramble for Africa,1881,1914
World War I,1914,1918
Russian Revolution,1917,1923
Great Depression,1929,1939
World War II,1939,1945
Cold War,1947,1991
Decolonization,1945,1975
Space Race,1957,1975
Cultural Revolution,1966,1976
Vietnam War,1955,1975
Oil Crisis,1973,1974
Iranian Revolution,1978,1979
Fall of Berlin Wall,1989,1989
Soviet Union Collapse,1991,1991
European Union Formation,1993,1993
9/11 Attacks,2001,2001
Global Financial Crisis,2007,2009
Arab Spring,2010,2012
COVID-19 Pandemic,2019,2023
Silk Road Trade,-130,1453
Trans-Saharan Trade,300,1500
Indian Ocean Trade,300,1500
Columbian Exchange,1492,1800
Atlantic Slave Trade,1500,1866
Spice Trade,-1500,3000
Opium Trade,1700,1900
Triangular Trade,1500,1866
Globalization,1980,0
First Global Financial System,1600,1800
Bretton Woods System,1944,1971
WTO Formation,1995,1995
Euro Introduction,1999,1999
Global Internet,1990,3000
Social Media Revolution,2004,3000
Mobile Revolution,2007,3000
AI Revolution,2010,3000
Green Revolution,1950,1970
Climate Change Awareness,1980,2025
Renewable Energy Revolution,2000,3000
Global Health Initiatives,1948,3000
Space Exploration,1957,3000
Nuclear Age,1945,3000
Genetic Engineering,1973,3000
Nanotechnology,1981,3000
Blockchain Technology,2008,3000
